Tweet,polarity,subjectivity,Sentiment
"RT @ChristopherJM: Zelensky also confirms CIA Director Bill Burns' Kyiv visit Tuesday, during Russia's missile attack. “Yesterday Burns sat…",0,0,Negative
"RT @oryxspioenkop: Russia acquired these vehicles from the secondhand car market, and did not capture them from Ukraine. https://t.co/bagJE…",-0.1,0.3,Positive

"RT @KyivIndependent: ""Russian goal seems to be to entrench and defend for the next several months, and then attempt a new offensive in the…",0.034090909,0.113636364,Negative
RT @william98161886: I see Rishi just given another 4 and a half billion to the Ukraine !!!  You'd think it was us at fekin war with Russia…,-0.325520833,0.166666667,Positive
RT @UmlandAndreas: https://t.co/jJMGEpdEn2,0,0,Negative
RT @michaeldweiss: Predicting the trajectory and pacing of this war has not been America's strong suit. Providing security assistance to le…,0.433333333,0.733333333,Negative
"RT @IuliiaMendel: If Putin took over Ukraine, there was no guarantee that he wouldn’t immediately, or after a little while, go into neighbo…",-0.1875,0.5,Positive
https://t.co/cCyzHS5How Ukraine: Bewohnerin von Cherson berichtet über russische Besatzung - »Wir waren wie im Gefä… https://t.co/hQ2EfiieGE,0,0,Negative
Can the risk of spillover from the Ukraine war be contained? https://t.co/vCWeIq93Ab,0,0,Negative
RT @rising_serpent: Biden-FTX-Ukraine is everything they claimed Trump was doing with Russia and then investigated him for five straight ye…,0.2,0.4,Negative
"RT @f_philippot: Vous n’entendrez pas beaucoup parler du scandale #FTX car il est à la confluence de l’Ukraine, du Parti Démocrate américai…",0,0,Negative
Canada sanctions Iranian drone makers amid Russian strikes in Ukraine – National #IranRussianNews #RussianNews… https://t.co/wDb5pDmEcm,0,0,Negative
"RT @RWApodcast: Three military Toyota Mega Cruisers, likely donated to Ukraine by Japan, now in Russian service. https://t.co/luziAEXPCH",-0.033333333,0.366666667,Positive
"RT @AZgeopolitics: ""Freedom and democracy"" arrived in Kherson...

SBU(Security Service of Ukraine) rounded up some more ""collaborators"" in…",0.5,0.5,Negative
RT @ferryman4747: #PolandMissileStrike #Ukraine #FTXScandal https://t.co/yt7AW7n5jl,0,0,Negative
RT @KimDotcom: Ukraine executed the false flag attack on Poland so poorly that there was no chance to blame Russia without losing all credi…,-0.4,0.6,Positive
